part,before_unique,after_unique,resolver_warnings,families
445.dat,0,2,0,cylinder
44511.dat,9,10,0,cylinder
4452.dat,40,52,0,cylinder
44567a.dat,3,5,1,cylinder
44567b.dat,3,5,1,cylinder
44571.dat,12,20,2,cylinder
44572.dat,0,8,2,cylinder
44590.dat,12,21,0,cylinder
446.dat,0,2,0,cylinder
4460.dat,0,4,0,cylinder
4461.dat,16,20,0,cylinder
44665.dat,32,56,0,cylinder
44670.dat,8,24,0,cylinder
44674.dat,5,9,0,cylinder
4468.dat,0,6,0,cylinder
447.dat,1,5,0,cylinder
4475.dat,22,50,0,cylinder
44772c01.dat,0,1,0,cylinder
44772c02.dat,0,1,0,cylinder
4478.dat,18,712,0,cylinder
4478p01.dat,18,712,0,cylinder
4478p02.dat,18,712,0,cylinder
4478p03.dat,18,712,0,cylinder
4478p04.dat,18,712,0,cylinder
447c01.dat,2,6,0,cylinder
448.dat,0,392,0,cylinder
4480c02.dat,0,2,1,generic
4480c03.dat,0,2,1,generic
4480c04.dat,4,7,2,generic;cylinder
44865.dat,4,6,0,cylinder
4486c01.dat,1,3,0,cylinder
4486c02.dat,1,3,0,cylinder
4488.dat,6,11,0,cylinder
44882.dat,0,2,0,cylinder
4489.dat,0,1,0,cylinder
448p01.dat,0,392,0,cylinder
448p02.dat,0,392,0,cylinder
4490.dat,2,5,0,cylinder
4490p90.dat,2,5,0,cylinder
4491a.dat,3,5,1,cylinder
4491b.dat,4,6,1,cylinder;clip
4493c00.dat,0,11,1,cylinder;generic
4493c01.dat,0,11,1,cylinder;generic
4493c02.dat,0,11,1,cylinder;generic
4493c03.dat,0,11,1,cylinder;generic
4493c04.dat,0,11,1,cylinder;generic
4493pw1c00.dat,0,11,1,cylinder;generic
4493pw2c00.dat,0,11,1,cylinder;generic
4494c01.dat,0,11,0,cylinder;generic
4494pw1c01.dat,0,11,0,cylinder;generic
4494pw2c01.dat,0,11,0,cylinder;generic
4495.dat,2,3,0,cylinder
449521.dat,0,3,0,cylinder
4495b.dat,2,3,0,cylinder
4497946.dat,3,4,0,cylinder
45.dat,1,3,0,cylinder;generic
4501575.dat,17,41,0,cylinder
4504369.dat,0,1,0,cylinder
4504371.dat,0,1,0,cylinder
4506697.dat,2,3,0,cylinder
4506c01.dat,2,3,0,cylinder
4508c01.dat,1,5,1,cylinder
4515d01.dat,0,48,0,cylinder
4515d02.dat,0,48,0,cylinder
4515dx0.dat,0,48,0,cylinder
45176.dat,10,14,0,cylinder
4517925.dat,1,3,0,cylinder;clip
4520782.dat,5,7,0,cylinder
4521166.dat,0,5,0,cylinder
4521852.dat,4,6,0,cylinder
4524903.dat,0,1,0,cylinder
4526562.dat,0,1,0,cylinder
453.dat,0,12,0,cylinder
45301.dat,46,54,0,cylinder
4532.dat,10,16,0,cylinder;fingers;generic
45337.dat,10,28,0,cylinder
4534.dat,14,18,0,cylinder;fingers;generic
45341.dat,6,142,0,cylinder
45360c01.dat,8,22,0,cylinder
45361.dat,8,12,0,cylinder
4538.dat,8,24,0,cylinder
4538781.dat,0,13,0,cylinder
4538782.dat,0,7,0,cylinder
4539364.dat,0,24,0,cylinder
453ac01.dat,4,8,0,cylinder
453bc01.dat,4,12,0,cylinder
453cc01.dat,4,12,0,cylinder
45406.dat,0,8,1,cylinder
45407.dat,20,36,0,cylinder
45410.dat,58,82,0,cylinder
45411.dat,43,67,2,cylinder
45417.dat,2,4,0,cylinder
4542272.dat,0,5,0,cylinder
45505.dat,0,8,0,cylinder
45601.dat,0,50,0,cylinder;generic
45601c01.dat,0,50,0,cylinder;generic
45601p01.dat,0,50,0,cylinder;generic
45601p02.dat,0,50,0,cylinder;generic
45677d01.dat,16,19,0,cylinder
45706.dat,2,6,0,cylinder
4570662.dat,0,1,0,cylinder
45706p01.dat,2,6,0,cylinder
45729.dat,0,14,0,cylinder
4582471.dat,0,5,0,cylinder
4585.dat,6,8,0,cylinder
4585450.dat,0,1,0,cylinder
4587.dat,3,5,1,cylinder
4590.dat,7,9,0,cylinder
4599.dat,2,4,0,cylinder
459923.dat,0,4,0,cylinder
459a.dat,32,64,0,cylinder
459b.dat,35,67,0,cylinder;generic
4600.dat,6,10,0,cylinder
4607.dat,64,88,0,cylinder
461.dat,5,6,0,cylinder
4612.dat,18,30,0,cylinder
4613.dat,6,40,0,cylinder
4613c01.dat,0,40,0,cylinder
4614c01-f1.dat,0,2,0,cylinder
4614c01-f2.dat,0,2,0,cylinder
4615.dat,0,2,0,cylinder
4616992.dat,0,160,0,cylinder
4616a.dat,13,17,0,cylinder
4616ac01.dat,13,17,0,cylinder
4616b.dat,13,17,0,cylinder
4618.dat,1,3,0,cylinder
4618c01.dat,4,6,0,cylinder
46218.dat,12,16,0,cylinder
46224c01.dat,8,18,0,cylinder
4623.dat,3,6,0,cylinder
4625.dat,5,8,0,cylinder;fingers
4626.dat,4,8,0,cylinder;fingers
4629916.dat,0,10,0,cylinder
4629c01.dat,12,15,0,cylinder;fingers
4629c02.dat,11,14,1,cylinder;fingers
4629down.dat,0,15,0,cylinder;fingers
4633881.dat,0,5,0,cylinder
46342.dat,0,28,0,cylinder
46361.dat,0,13,0,cylinder
464.dat,0,8,0,cylinder
46481.dat,0,15,0,cylinder
46490c01.dat,0,7,0,cylinder
46490c02.dat,0,4,0,cylinder
46506.dat,0,4,0,cylinder
4650624.dat,0,5,0,cylinder
46524.dat,8,12,0,cylinder
46530.dat,1,25,0,cylinder;generic
46564.dat,0,4,0,cylinder
4672.dat,0,96,0,cylinder
4672a.dat,32,96,0,cylinder
4672b.dat,32,96,0,cylinder
4688.dat,4,19,0,cylinder
469.dat,0,1,0,clip
4692c01.dat,11,27,0,cylinder
4694c01-f1.dat,6,11,0,cylinder
4694c01-f2.dat,5,10,1,cylinder
4694c01-f3.dat,5,10,1,cylinder
4694c01.dat,0,11,0,cylinder
47.dat,2,6,0,cylinder
470.dat,0,1,0,clip
4707.dat,82,114,0,cylinder
4707c01.dat,0,114,0,cylinder
4707c02.dat,0,114,0,cylinder
4707c03.dat,0,114,0,cylinder
470p01.dat,0,1,0,clip
47116.dat,328,600,0,cylinder
47122.dat,70,110,0,cylinder
4714.dat,16,24,0,cylinder;fingers
47154c01.dat,18,38,0,cylinder
47155.dat,16,20,0,cylinder
4719c03.dat,3,5,4,cylinder;fingers
47222.dat,3,5,0,cylinder
47223a-f1.dat,4,6,0,cylinder
47223a-f2.dat,3,5,1,cylinder
47223a-f3.dat,3,5,1,cylinder
47223a.dat,0,6,0,cylinder
47223d-f1.dat,4,6,0,cylinder
47223d-f2.dat,3,5,1,cylinder
47223d-f3.dat,3,5,1,cylinder
47224c01-f1.dat,3,4,0,cylinder
47224c01-f2.dat,3,4,0,cylinder
47224c01.dat,0,4,0,cylinder
47224c02.dat,0,4,0,cylinder
4730.dat,6,10,0,cylinder
47306.dat,4,8,0,cylinder;generic
4732.dat,24,36,0,cylinder
47326.dat,0,2,0,cylinder
47326p01.dat,0,2,0,cylinder
47326p02.dat,0,2,0,cylinder
47326p03.dat,0,2,0,cylinder
47376.dat,145,252,0,cylinder
47404.dat,22,65,0,cylinder
47405.dat,60,120,0,cylinder
47406.dat,22,30,0,cylinder
4743.dat,12,28,0,cylinder
47431.dat,9,17,0,cylinder
47432.dat,15,23,0,cylinder
4744.dat,8,12,0,cylinder
4744p01.dat,8,12,0,cylinder
4744p02.dat,8,12,0,cylinder
4744p03.dat,8,12,0,cylinder
4744p04.dat,8,12,0,cylinder
4744p05.dat,8,12,0,cylinder
4744p06.dat,8,12,0,cylinder
4744p07.dat,8,12,0,cylinder
4744p0c.dat,8,12,0,cylinder
47452.dat,8,16,0,cylinder
47454.dat,15,23,0,cylinder
4746.dat,13,21,0,cylinder
4747.dat,9,17,0,cylinder
4748.dat,11,19,0,cylinder
47506.dat,9,21,0,cylinder
47507.dat,6,60,0,cylinder
4751.dat,0,4,0,cylinder
4751a.dat,0,4,0,cylinder
4751b.dat,0,4,0,cylinder
47543.dat,10,25,0,cylinder
47592.dat,0,6,0,cylinder
47592c01.dat,0,7,0,cylinder;generic
4760c01.dat,32,66,0,cylinder
4760p01c01.dat,32,66,0,cylinder
4760p02c01.dat,32,66,0,cylinder
47643.dat,0,21,2,cylinder
4767.dat,0,3,0,cylinder
47674c01.dat,10,75,0,cylinder
47675.dat,3,7,0,cylinder
47676.dat,6,10,0,cylinder
4771.dat,0,8,0,cylinder
47715.dat,14,39,0,cylinder
47720.dat,7,11,0,cylinder
4774c01.dat,4,8,0,cylinder
47753d01.dat,0,8,0,cylinder
4779.dat,2,14,0,cylinder;generic
4782.dat,18,22,0,cylinder
4783.dat,0,4,0,cylinder
4784.dat,0,8,0,cylinder
47843.dat,12,16,1,cylinder
47846.dat,29,57,0,cylinder
47855.dat,46,62,0,cylinder
4789.dat,0,20,0,cylinder
47899c01.dat,2,4,0,cylinder
47899c03.dat,2,4,0,cylinder
47899c04.dat,2,4,0,cylinder
4789c01.dat,0,20,0,cylinder
4793.dat,1,47,1,clip;cylinder
4796.dat,20,52,0,cylinder
4796c01.dat,20,56,0,cylinder
47974.dat,41,53,0,cylinder
47976.dat,36,180,0,cylinder
47978.dat,29,75,1,cylinder;generic
47991.dat,2,73,0,cylinder
47998.dat,18,34,0,clip;cylinder
48.dat,0,2,0,cylinder
48002.dat,1,18,0,cylinder
48085.dat,3,15,0,generic;cylinder
48147.dat,29,55,2,cylinder
48165.dat,7,10,0,cylinder
48165d01.dat,0,10,0,cylinder
48169.dat,6,14,0,cylinder
48170.dat,7,15,0,cylinder
48171.dat,7,15,0,cylinder
48172.dat,7,15,0,cylinder
48183.dat,9,13,0,cylinder
48205.dat,15,27,0,cylinder
48208.dat,15,27,0,cylinder
4823.dat,20,60,0,cylinder
4823c01.dat,20,60,0,cylinder
4823c02.dat,20,60,0,cylinder
48288p04.dat,0,80,0,cylinder
48336.dat,4,6,0,cylinder
4841.dat,4,82,3,cylinder;clip
4844.dat,14,39,0,cylinder
4844a.dat,13,37,0,cylinder
4844b.dat,15,39,0,cylinder
48454.dat,0,15,0,cylinder
4854.dat,16,24,8,cylinder
4855.dat,11,13,0,cylinder
4856.dat,18,24,2,cylinder
4857.dat,13,21,0,cylinder;fingers
4858d01.dat,0,10,0,cylinder
4859.dat,5,9,0,cylinder
4860.dat,0,10,0,cylinder
4864.dat,0,7,0,cylinder
4864apt3.dat,3,5,0,cylinder
4864apt4.dat,3,5,0,cylinder
4864apt5.dat,3,5,0,cylinder
4864p33.dat,0,7,0,cylinder
4864p34.dat,0,7,0,cylinder
4864p35.dat,0,5,0,cylinder
4864p66.dat,0,5,0,cylinder
4864p89.dat,0,5,0,cylinder
4865.dat,0,3,0,cylinder
4865bdx0.dat,0,3,0,cylinder
4865d01.dat,0,3,0,cylinder
4865d02.dat,0,3,0,cylinder
4865p01.dat,0,3,0,cylinder
4865p02.dat,0,3,0,cylinder
4865p06.dat,0,3,0,cylinder
4865p18.dat,0,3,0,cylinder
4867.dat,21,29,0,cylinder
4867d01.dat,10,29,0,cylinder
4867d02.dat,10,29,0,cylinder
4867p10.dat,11,19,0,cylinder
4867p11.dat,11,19,0,cylinder
4867p12.dat,11,19,0,cylinder
4867p13.dat,11,19,0,cylinder
4867p14.dat,11,19,0,cylinder
4868.dat,0,5,0,cylinder
4868a.dat,1,5,0,cylinder
4868ad01.dat,0,5,0,cylinder
4868ad02.dat,0,5,0,cylinder
4868b.dat,1,9,0,cylinder
4870.dat,2,10,0,cylinder
4871.dat,8,12,4,cylinder
4874.dat,4,20,0,cylinder
4874c01.dat,0,20,0,cylinder
48933ps1.dat,13,13,0,cylinder
49059.dat,0,304,0,cylinder
49097.dat,3,7,0,cylinder
49242p01.dat,0,8,0,cylinder
49242p01c01.dat,0,16,0,cylinder
49283.dat,0,1,0,cylinder
49294c01.dat,0,1,0,cylinder
49311.dat,6,10,0,cylinder
49311ps0.dat,6,10,0,cylinder
49649.dat,0,8,0,cylinder
49649c01.dat,2,10,0,cylinder
49673.dat,1,2,0,cylinder
49699.dat,8,19,0,cylinder
497.dat,0,5,0,cylinder
49743.dat,17,42,0,cylinder;generic
497c01.dat,1,5,0,cylinder
49949.dat,61,117,4,cylinder
5.dat,0,2,0,cylinder
50.dat,2,3,0,cylinder;generic
50003.dat,0,5,0,cylinder
50163.dat,2,14,0,cylinder
501a.dat,13,21,0,cylinder
501ac01.dat,4,21,0,cylinder
501b.dat,15,23,0,cylinder
501bc01.dat,6,23,0,cylinder
501c.dat,15,23,0,cylinder
501cc01.dat,6,23,0,cylinder
503.dat,3,7,0,cylinder;generic
50304.dat,18,33,0,cylinder
50305.dat,18,33,0,cylinder
50340.dat,3,5,1,cylinder
50373.dat,8,12,0,cylinder
50384.dat,0,92,0,cylinder
503c01.dat,0,7,0,cylinder;generic
5065.dat,12,28,0,cylinder
5066.dat,7,9,0,cylinder
50745.dat,3,7,0,cylinder
50746.dat,0,1,0,cylinder
50859ac01.dat,0,4,0,cylinder
50859bc01.dat,0,4,0,cylinder
50860c01.dat,0,4,0,cylinder
509.dat,9,17,0,cylinder;clip
5090.dat,4,28,0,cylinder
50925.dat,10,12,0,cylinder
50944c01.dat,0,1,0,cylinder
50947d01.dat,0,3,0,cylinder
50955.dat,22,24,0,cylinder
50955p01.dat,22,24,0,cylinder
50955p02.dat,22,24,0,cylinder
50956.dat,22,24,0,cylinder
50956p01.dat,22,24,0,cylinder
50956p02.dat,22,24,0,cylinder
50990.dat,0,13,0,cylinder
50990a.dat,5,13,0,cylinder
50990b.dat,5,9,0,cylinder
509c01-f1.dat,9,17,0,cylinder;clip
509c01-f2.dat,9,17,0,cylinder;clip
510.dat,6,42,0,cylinder
511c01.dat,2,4,0,cylinder
513.dat,2,12,0,cylinder
51352.dat,9,17,0,cylinder;generic
51353.dat,8,16,0,cylinder;generic
51373.dat,0,13,0,cylinder
51523.dat,0,5,0,cylinder
51542.dat,0,820,0,cylinder
51542dq0.dat,0,820,0,cylinder
51560-f1.dat,0,8,0,generic;cylinder
51560-f2.dat,0,8,0,generic;cylinder
51595.dat,18,128,0,cylinder
51595p01.dat,18,128,0,cylinder
51595p02.dat,18,128,0,cylinder
51595p03.dat,18,128,0,cylinder
51719.dat,0,1,0,cylinder
51719c01.dat,0,1,0,cylinder
51739.dat,7,11,0,cylinder
5175.dat,0,16,0,cylinder
51858.dat,6,8,1,cylinder
52031d01.dat,24,31,0,cylinder
52031d02.dat,24,31,0,cylinder
52031d50.dat,24,31,0,cylinder
52031d51.dat,24,31,0,cylinder
52035.dat,10,14,0,cylinder
52035c01.dat,0,18,0,cylinder
52036.dat,22,60,0,cylinder
52037.dat,119,176,0,cylinder
52038.dat,11,17,0,cylinder
52040.dat,160,336,0,cylinder
52041.dat,28,76,0,cylinder
52214.dat,12,16,0,cylinder
52215.dat,0,14,0,cylinder
52216.dat,0,14,0,cylinder
52258.dat,2,33,0,cylinder;generic
52258p01c01.dat,37,78,8,cylinder;generic
52394.dat,1,2,0,cylinder
5258.dat,10,15,0,cylinder;clip
5259.dat,4,7,0,cylinder
5260.dat,4,7,0,cylinder
52639.dat,1,3,0,cylinder
52668.dat,0,92,6,cylinder
52901.dat,0,1,0,cylinder
53029.dat,5,9,1,cylinder
5306.dat,0,8,0,cylinder
53400.dat,14,58,0,cylinder;generic
53400c04.dat,0,232,0,cylinder;generic
53401.dat,10,54,0,cylinder
53450c01.dat,3,7,0,cylinder
53452.dat,68,268,0,cylinder
53527.dat,0,4,0,cylinder
53528.dat,0,1,0,cylinder
53540.dat,4,7,0,cylinder
53586.dat,2,3,0,cylinder
53787.dat,0,23,0,cylinder;generic
53788.dat,7,59,0,cylinder;generic
53788c01.dat,7,59,0,cylinder;generic
53793.dat,0,5,0,cylinder;generic
53793c01.dat,0,5,0,cylinder;generic
53914.dat,6,17,2,cylinder
53933.dat,0,5,0,cylinder
53933p01.dat,1,5,0,cylinder
53934p01c01.dat,0,11,0,cylinder
54090.dat,51,87,0,cylinder
54091.dat,88,112,0,cylinder
54092.dat,13,19,0,cylinder
54092p01.dat,7,13,0,cylinder
54092p01c01.dat,0,13,0,cylinder
54092p02.dat,7,13,0,cylinder
54092p02c01.dat,0,13,0,cylinder
54093.dat,204,284,0,cylinder
54094.dat,24,32,0,cylinder
54094p01.dat,24,32,0,cylinder
54095.dat,54,66,0,cylinder
54096.dat,44,56,0,cylinder
54101.dat,0,534,0,cylinder
54196.dat,0,7,0,cylinder
54200d01.dat,0,1,0,cylinder
54200d02.dat,0,1,0,cylinder
54200d03.dat,0,1,0,cylinder
54200d04.dat,0,1,0,cylinder
54200dy0.dat,0,1,0,cylinder
54200dy1.dat,0,1,0,cylinder
54200dy2.dat,0,1,0,cylinder
54200dy3.dat,0,1,0,cylinder
5426.dat,0,2,0,cylinder
54383.dat,16,20,0,cylinder
54384.dat,16,20,0,cylinder
54562.dat,10,54,0,cylinder
54654c01.dat,8,104,0,cylinder
54654c02.dat,8,104,0,cylinder
54654c03.dat,8,104,0,cylinder
54654c04.dat,8,104,0,cylinder
54654c05.dat,8,104,0,cylinder
54654c06.dat,8,104,0,cylinder
54654c06d01.dat,0,104,0,cylinder
54657.dat,3,5,1,cylinder
54672.dat,2,5,1,cylinder
54675.dat,0,37,0,cylinder
54675c01.dat,0,38,0,cylinder;generic
54696.dat,0,23,0,cylinder
54696c01.dat,0,24,0,cylinder;generic
54696p01.dat,0,23,0,cylinder
54696p01c01.dat,0,24,0,cylinder;generic
54696p02.dat,0,23,0,cylinder
54696p02c01.dat,0,24,0,cylinder;generic
54701.dat,27,81,0,cylinder
54701p01.dat,27,81,0,cylinder
54701p01c01.dat,8,104,0,cylinder
54702.dat,11,23,0,cylinder
54714.dat,3,6,0,cylinder
54715c01.dat,4,13,0,cylinder;generic
54725.dat,4,5,0,cylinder
54725c01.dat,8,10,0,cylinder
54734.dat,0,26,0,cylinder
54779.dat,0,534,0,cylinder
54779c01.dat,0,534,0,cylinder
54779c02.dat,0,534,0,cylinder
54802.dat,0,55,0,cylinder
54824.dat,0,12,0,generic;cylinder
54869.dat,0,13,0,cylinder
54870.dat,0,17,0,cylinder
54923c01.dat,6,19,0,cylinder
54923c02.dat,6,19,0,cylinder
54923c02d01.dat,0,19,0,cylinder
54929.dat,2,6,0,cylinder
54929c01.dat,6,12,0,cylinder
550.dat,3,5,0,cylinder
551.dat,0,16,0,cylinder
55167.dat,0,104,0,cylinder
55172.dat,0,13,0,cylinder
5518.dat,5,7,0,cylinder
551ps1.dat,0,16,0,cylinder
55205.dat,0,8,0,cylinder
55205c01.dat,8,16,0,cylinder
553.dat,0,6,0,cylinder
55358.dat,0,13,0,cylinder
553ps1.dat,0,6,0,cylinder
553ps2.dat,0,6,0,cylinder
554.dat,1,3,0,cylinder
55423.dat,0,1,0,cylinder
55525.dat,2,3,0,cylinder
55529.dat,0,2,0,clip;cylinder
55539.dat,0,94,0,cylinder
55804.dat,0,2,0,generic
55805.dat,0,2,0,generic
55806.dat,0,2,0,generic
559c01.dat,2,10,0,cylinder
559c02.dat,2,10,0,cylinder
560.dat,0,62,0,cylinder
56074.dat,16,32,0,cylinder
56074p01.dat,16,32,0,cylinder
56145c01.dat,0,1,0,cylinder
56145c02.dat,0,1,0,cylinder
561c01.dat,68,132,0,cylinder
564.dat,12,48,0,cylinder
564c01.dat,48,96,0,cylinder
564c02.dat,48,96,0,cylinder
56640.dat,0,2,0,cylinder
56641.dat,0,2,0,cylinder
568.dat,0,1,0,cylinder
56902c01.dat,0,1,0,cylinder
56903c01.dat,0,1,0,cylinder
56904c01.dat,0,1,0,cylinder
57.dat,4,5,0,cylinder
570.dat,11,15,0,cylinder
571.dat,1,9,0,cylinder
5712.dat,6,13,0,cylinder
572.dat,35,51,0,cylinder
572c01.dat,2,4,0,cylinder
572c02.dat,2,4,0,cylinder
57518c01.dat,2,7,0,cylinder;clip
57783.dat,6,9,0,cylinder
57786.dat,0,694,0,cylinder
579.dat,6,48,0,cylinder
57908.dat,7,11,0,cylinder;generic
57909.dat,12,12,0,cylinder;generic
57910.dat,4,8,2,cylinder;generic
579c01.dat,40,88,0,cylinder
579c02.dat,40,88,0,cylinder
579c03.dat,0,108,0,cylinder
579p01.dat,6,48,0,cylinder
579p01c01.dat,40,88,0,cylinder
579p01c02.dat,40,88,0,cylinder
579p01c03.dat,0,108,0,cylinder
581.dat,4,44,0,cylinder
58119.dat,21,44,0,cylinder;generic
58120c01.dat,0,25,0,cylinder;generic
58121c01.dat,0,19,0,cylinder;generic
58122.dat,32,52,0,cylinder
58123.dat,18,32,0,cylinder;generic
58123p01.dat,18,32,0,cylinder;generic
58124c01.dat,3,7,0,cylinder;generic
58124c02.dat,4,7,0,cylinder;generic
58124c03.dat,3,4,0,cylinder;generic
58135c01.dat,32,50,0,cylinder
58148c01.dat,18,32,0,cylinder;generic
58148p01c01.dat,18,32,0,cylinder;generic
58177.dat,3,4,0,cylinder
581c01.dat,0,92,0,cylinder
581c02.dat,0,92,0,cylinder
585.dat,0,1,0,cylinder
58572.dat,2,3,0,cylinder
586c01.dat,18,30,0,cylinder
586c02.dat,18,30,0,cylinder
58846.dat,65,69,0,cylinder
590.dat,0,17,0,cylinder
59141.dat,1,3,0,cylinder;generic
59195.dat,15,27,0,cylinder
59349.dat,11,23,0,cylinder
59349p01.dat,11,23,0,cylinder
59349p02.dat,11,23,0,cylinder
59349pa0.dat,11,23,0,cylinder
59349ph1.dat,11,23,0,cylinder
59349ph2.dat,11,23,0,cylinder
59349pm0.dat,11,23,0,cylinder
59350.dat,0,23,0,cylinder
593c01.dat,0,64,0,cylinder
59489.dat,0,2,0,cylinder
59858.dat,1,2,0,cylinder
6002.dat,14,18,0,cylinder
6003.dat,37,62,0,cylinder
60032.dat,4,8,0,cylinder;generic
60033.dat,48,96,0,cylinder
60125.dat,0,17,0,cylinder
6014c01.dat,0,2,0,cylinder;generic
6014c02.dat,0,2,0,cylinder;generic
6014c03.dat,0,2,0,cylinder;generic
60169.dat,2,4,0,cylinder
601926.dat,1,3,0,cylinder;clip
6019987.dat,2,5,0,cylinder
602.dat,4,8,0,cylinder
6021.dat,20,36,0,cylinder
60212.dat,10,14,0,cylinder
60219.dat,26,42,0,cylinder
6024.dat,100,512,0,cylinder
6026.dat,4,8,0,cylinder;fingers
6026c01.dat,4,10,0,cylinder;fingers
60288.dat,4,9,0,cylinder
6035.dat,0,5,0,cylinder
60373.dat,8,24,0,cylinder
604.dat,0,18,0,cylinder
6040.dat,6,10,0,cylinder
60470.dat,2,7,0,cylinder;clip
60470b.dat,5,7,0,cylinder;clip
60474.dat,19,27,0,cylinder
60475.dat,1,3,0,clip;cylinder
60478.dat,4,6,0,cylinder
60481.dat,2,5,0,cylinder
60481ady1.dat,2,5,0,cylinder
604a.dat,6,12,0,cylinder
604ac01.dat,6,12,0,cylinder
604b.dat,6,18,0,cylinder
604bc01.dat,6,18,0,cylinder
605.dat,0,4,0,cylinder
6050.dat,10,26,0,cylinder
6051.dat,64,208,4,cylinder
6051c01.dat,30,46,1,cylinder
6051c02.dat,30,46,1,cylinder
6051c03.dat,30,46,1,cylinder
6051c04.dat,30,46,1,cylinder
6053.dat,26,294,0,cylinder
6053c01.dat,18,294,0,cylinder
6053c02.dat,18,294,0,cylinder
6053c03.dat,18,294,0,cylinder
6053c04.dat,18,294,0,cylinder
6054.dat,101,229,0,cylinder
6058.dat,18,28,18,cylinder
60581.dat,4,15,0,cylinder
60581d50.dat,0,15,0,cylinder
60581dm0.dat,0,15,0,cylinder
60581dm1.dat,0,15,0,cylinder
60581dm2.dat,0,15,0,cylinder
60581dm3.dat,0,15,0,cylinder
60581p01.dat,4,15,0,cylinder
60581p02.dat,4,15,0,cylinder
60581p04.dat,4,15,0,cylinder
60581px0.dat,4,15,0,cylinder
60583.dat,1,4,0,cylinder;clip
60592.dat,3,7,0,cylinder;generic
60592c01.dat,3,8,0,cylinder;generic
60593.dat,4,8,0,cylinder;fingers
60593c01.dat,4,8,0,cylinder;fingers
60598.dat,12,20,0,cylinder
60599.dat,12,24,0,cylinder;fingers
6059d01.dat,5,6,0,cylinder
606.dat,8,576,0,cylinder
60603.dat,0,1,0,fingers
6061.dat,3,19,0,cylinder
60616bdx0.dat,1,5,0,cylinder;fingers
6063.dat,56,88,0,cylinder
60634.dat,0,4,0,cylinder
60635.dat,0,1,0,cylinder
60635p01.dat,0,1,0,cylinder
60635p02.dat,0,1,0,cylinder
60635p03.dat,0,1,0,cylinder
60640.dat,0,1,0,cylinder
60643.dat,0,1,0,cylinder
60656.dat,0,14,0,cylinder;generic
6066.dat,21,31,0,cylinder
60671.dat,0,14,1,cylinder
60671p01.dat,0,14,1,cylinder
60671p02.dat,0,14,1,cylinder
60671p03.dat,0,14,1,cylinder
60672.dat,0,1,0,cylinder
60672c01.dat,0,1,0,cylinder
60672c02.dat,0,1,0,cylinder
60672c03p01.dat,0,1,0,cylinder
60673.dat,0,1,0,cylinder
60673c01.dat,0,1,0,cylinder
60673c02.dat,0,1,0,cylinder
60673c03p01.dat,0,1,0,cylinder
6069d02.dat,0,13,0,cylinder
6069d05.dat,0,13,0,cylinder
6069p101.dat,0,13,0,cylinder
606p01.dat,8,576,0,cylinder
606p02.dat,8,576,0,cylinder
606p33.dat,8,576,0,cylinder
607.dat,0,324,0,cylinder
6070.dat,3,5,0,cylinder
6070d50.dat,2,5,0,cylinder
6072.dat,33,51,0,cylinder
60791.dat,4,8,0,cylinder
60797c01.dat,1,3,0,fingers;cylinder
60797c02.dat,1,3,0,fingers;cylinder
60797c03.dat,1,3,0,fingers;cylinder
60797c04.dat,1,3,0,fingers;cylinder
607p01.dat,0,324,0,cylinder
608.dat,4,450,0,cylinder
6080.dat,6,7,0,cylinder
60801.dat,1,4,0,cylinder;clip
60803.dat,0,2,0,fingers
6080c.dat,2,3,0,cylinder
6081d01.dat,8,15,0,cylinder
6081d02.dat,8,15,0,cylinder
6081d04.dat,8,15,0,cylinder
6084.dat,1,5,0,cylinder;fingers
6085.dat,16,31,0,cylinder
6087.dat,16,24,0,cylinder
608p01.dat,4,450,0,cylinder
608p02.dat,4,450,0,cylinder
608p03.dat,4,450,0,cylinder
608p04.dat,4,450,0,cylinder
608p33.dat,4,450,0,cylinder
609.dat,30,657,0,cylinder
6092.dat,14,529,0,cylinder
6092p01.dat,14,529,0,cylinder
60935.dat,0,2,0,cylinder
6098.dat,0,256,0,cylinder
6099.dat,24,240,0,cylinder
6099p01.dat,24,240,0,cylinder
6099p02.dat,24,240,0,cylinder
6099p03.dat,24,240,0,cylinder
6099p04.dat,24,240,0,cylinder
6099p05.dat,24,240,0,cylinder
6099p06.dat,24,240,0,cylinder
6099p07.dat,24,240,0,cylinder
609p01.dat,30,657,0,cylinder
60c01.dat,0,1,0,cylinder
61.dat,0,1,0,cylinder
610.dat,0,512,0,cylinder
6100.dat,16,254,0,cylinder
6100p01.dat,16,254,0,cylinder
6100p02.dat,16,254,0,cylinder
6100p03.dat,16,254,0,cylinder
6100p04.dat,16,254,0,cylinder
6100p05.dat,16,254,0,cylinder
6104.dat,36,56,0,cylinder
6106.dat,28,52,0,cylinder
61068d01.dat,0,8,0,cylinder
61068d02.dat,0,8,0,cylinder
61070.dat,1,3,0,cylinder
61070d01.dat,0,3,0,cylinder
61071d01.dat,1,3,0,cylinder
610p01.dat,0,512,0,cylinder
611.dat,0,256,0,cylinder
61100.dat,0,27,0,cylinder
6116.dat,0,10,0,cylinder
61189c01.dat,2,4,0,cylinder;fingers
61191.dat,6,14,0,cylinder
61199c01.dat,2,4,0,cylinder
611p01.dat,0,256,0,cylinder
612.dat,0,384,0,cylinder
6122c01.dat,4,7,5,cylinder;clip
6122c02.dat,2,6,0,cylinder;clip
6126.dat,3,4,0,cylinder
